time,open,high,low,close,volume
1780473600,4455.1,4459.8,4454,4457.1,185.6251
1780474500,4457.4,4458.3,4453,4457.5,152.3294
1780475400,4458,4458.5,4457.2,4458.3,10.3037
1780476300,4458.3,4458.9,4440.9,4443.5,430.5294
1780477200,4443.7,4458.4,4443.7,4454.1,29.0993
1780478100,4452.7,4452.7,4442.5,4442.5,52.4566
1780479000,4441.4,4449,4441.4,4447.9,24.0863
1780479900,4447.2,4448.3,4442.9,4443.5,62.6781
1780480800,4443.1,4468.8,4443.1,4465.6,457.7489
1780481700,4464.7,4465.7,4457,4462.2,16.4519
1780482600,4462.1,4464,4457,4457,123.092
1780483500,4456,4463.3,4456,4461.1,82.4183
1780484400,4461.1,4469.1,4461.1,4464.8,27.5728
1780485300,4464.8,4465.9,4461.7,4464.3,10.4927
1780486200,4465.3,4468,4462.4,4462.8,17.0645
1780487100,4462.9,4465.8,4462,4463.2,28.5653
1780488000,4464,4466.4,4460.2,4461,126.7171
1780488900,4460.3,4463.6,4453.6,4453.9,22.4318
1780489800,4454.1,4460.8,4450.6,4460.8,61.119
1780490700,4460,4467.5,4458.4,4461.5,90.1337
1780491600,4461.1,4466,4460.2,4465.1,51.6824
1780492500,4463.4,4463.7,4448.4,4449.7,101.5381
1780493400,4450.4,4453.6,4430.4,4430.4,658.2363
1780494300,4430.3,4449.2,4429.3,4444.7,277.9683
1780495200,4445,4457,4443.7,4456,66.0076
1780496100,4456.3,4458,4448.2,4452.4,89.9736
1780497000,4452.4,4453.7,4448.6,4449.7,17.973
1780497900,4449.5,4460.7,4448.9,4458.3,193.6764
1780498800,4458.6,4458.6,4447.8,4447.8,77.3294
1780499700,4447.8,4451.6,4441.8,4445.9,82.515
1780500600,4446,4446,4439.1,4442.5,44.3443
1780501500,4441.4,4444.6,4438.9,4443.1,31.638
1780502400,4443.5,4444.6,4439.4,4440.9,13.4511
1780503300,4441,4442.4,4435.9,4438.3,128.1776
1780504200,4438.2,4441.5,4437.5,4438.7,188.527
1780505100,4439.4,4443.9,4438.4,4443.6,19.3232
1780506000,4443.6,4450.3,4443.5,4444.7,243.0515
1780506900,4444.4,4445.7,4440,4440,119.1467
1780507800,4439.4,4443,4438.7,4442.7,19.9494
1780508700,4442.6,4442.6,4439.5,4440.7,5.8984
1780509600,4440.8,4442.3,4438.6,4438.6,56.3388
1780510500,4438.7,4441.3,4437.9,4441.3,15.7369
1780511400,4441.4,4444.3,4439.7,4440.8,33.1119
1780512300,4440.8,4443.3,4440.8,4443.3,3.4651
1780513200,4443.4,4451.3,4443.3,4451,82.8591
1780514100,4451.5,4454,4449.6,4449.7,133.3979
1780515000,4449.7,4451.1,4449.7,4450.2,25.2395
1780515900,4450.2,4450.2,4446.1,4446.1,28.4498
1780516800,4447.3,4447.3,4441.8,4441.8,27.1687
1780517700,4441.1,4442.2,4440.8,4441.6,65.0128
1780518600,4442.1,4442.1,4435.3,4435.4,29.6786
1780519500,4436.5,4437.2,4433.3,4436.2,58.1174
1780520400,4436.2,4440.5,4436.2,4439.6,19.718
1780521300,4439.9,4442.9,4439.9,4442.9,21.5459
1780522200,4442.7,4447.3,4441.6,4445.9,113.7496
1780523100,4445.8,4447.4,4445,4446.6,63.6232
1780524000,4445.2,4445.2,4432.4,4433.4,206.9581
1780524900,4433.3,4436.4,4426,4435.2,39.1273
1780525800,4436.2,4440.4,4436,4437,40.0101
1780526700,4438,4452.5,4438,4448.2,298.0081
1780527600,4450.4,4450.7,4447.5,4448.9,16.4003
1780528500,4449.1,4453,4448.3,4453,116.2821
1780529400,4453,4454,4447.6,4453.9,267.0676
1780530300,4454,4464.1,4454,4458.7,311.6349
1780531200,4457.5,4465,4455.2,4455.2,234.2177
1780532100,4455,4458.6,4449.6,4452.8,144.9464
1780533000,4450.6,4452.4,4446.5,4449.1,123.0242
1780533900,4448.9,4454.2,4448.4,4450,28.8306
1780534800,4449.1,4466.3,4446.3,4465.7,98.771
1780535700,4464.5,4474.1,4461,4467.2,267.3237
1780536600,4467.2,4470.9,4460.5,4460.9,136.4518
1780537500,4461.6,4467.9,4459,4466.3,95.0261
1780538400,4467,4467.9,4458.2,4465,108.8663
1780539300,4463.9,4464,4460,4463.3,18.7473
1780540200,4463.2,4465.3,4460.2,4464.2,9.2238
1780541100,4465.2,4477.2,4465.2,4477.2,71.7145
1780542000,4477.3,4478.8,4472.8,4473.3,31.5089
1780542900,4473.3,4473.3,4468.7,4470.4,21.0945
1780543800,4470.9,4470.9,4462.8,4462.8,73.1446
1780544700,4462.2,4466.1,4460.3,4465.7,17.0915
1780545600,4465.8,4472,4464.6,4471.3,37.5666
1780546500,4473,4476.7,4471.9,4476,0.4787
1780547400,4476.9,4485.3,4476.6,4484.1,78.928
1780548300,4483.6,4484.4,4480.1,4481.9,20.6911
1780549200,4481.9,4482.8,4473.3,4478.6,25.0751
1780550100,4478.5,4478.9,4473.3,4475.6,94.3486
1780551000,4475.3,4476.7,4473.2,4476,12.9171
1780551900,4476.4,4476.4,4469.7,4470.7,24.4114
1780552800,4470.9,4478,4470.6,4475.6,17.5731
1780553700,4475.7,4476,4469.4,4473.5,43.2182
1780554600,4473.7,4477,4471.4,4472,53.0298
1780555500,4471.2,4471.5,4464.5,4469.5,188.7238
1780556400,4469.1,4472.1,4464.3,4464.5,332.9326
1780557300,4464.5,4470.5,4463.7,4466.4,121.8181
1780558200,4466.3,4468.2,4462,4462.1,34.7364
1780559100,4463.2,4463.3,4462.1,4462.7,27.7848
1780560000,4462.9,4468.6,4462.6,4463.1,34.9281
1780560900,4462.6,4466.8,4461.1,4465.3,19.577
1780561800,4465.8,4470.4,4463.2,4464.6,107.7293
1780562700,4465,4468,4462.6,4466,12.4587
1780563600,4465.8,4471.4,4464.2,4465.5,76.1438
1780564500,4465.9,4469.6,4465.9,4467.4,27.6236
1780565400,4467,4471,4465,4470.3,28.355
1780566300,4470.4,4478.1,4470.3,4472.9,196.4878
1780567200,4473,4474.1,4470.7,4473.5,26.1705
1780568100,4473.4,4473.7,4467.2,4469.7,40.5788
1780569000,4469.1,4475,4468.5,4474.9,425.6035
1780569900,4474.6,4477.5,4471.7,4477.5,134.9974
1780570800,4476.5,4480,4472,4477.7,92.5459
1780571700,4476.6,4494.1,4476.5,4492.5,157.2913
1780572600,4492.4,4495.8,4485.9,4493.3,223.9994
1780573500,4494,4516.7,4494,4515.5,492.3956
1780574400,4515.3,4516.6,4495,4495.2,276.2319
1780575300,4495.3,4503,4493.9,4501.8,353.3839
1780576200,4501.7,4504.8,4500.7,4504.8,79.0762
1780577100,4504.7,4513.3,4502.4,4507.5,113.4204
1780578000,4507.2,4512,4503.4,4506.9,124.9189
1780578900,4506.4,4512.4,4505.2,4508.4,237.801
1780579800,4507.3,4515.6,4506.4,4515,78.7236
1780580700,4515.8,4516.7,4498.4,4498.4,227.2087
1780581600,4499.9,4502.3,4489.4,4490.6,56.2752
1780582500,4490.5,4495.7,4487.5,4488.1,71.7797
1780583400,4488.1,4488.1,4476.1,4476.6,320.2799
1780584300,4476.8,4476.9,4460.1,4467.9,230.8405
1780585200,4468,4476.1,4467.4,4475.4,129.8736
1780586100,4475.6,4476.1,4472.7,4473.6,14.2374
1780587000,4473.9,4478.3,4473.3,4476,28.454
1780587900,4475.9,4481,4473.7,4480.1,67.9199
1780588800,4480.2,4485.6,4478.3,4482.3,63.6318
1780589700,4482.3,4486.1,4482.2,4486.1,32.9839
1780590600,4485.6,4485.6,4481.9,4484,78.957
1780591500,4483.6,4484.7,4482.7,4484.4,12.6553
1780592400,4484,4484,4478.4,4478.4,8.1967
1780593300,4478.4,4480.3,4476.4,4479.1,27.6554
1780594200,4479.3,4482.4,4476.5,4478.1,208.1593
1780595100,4478.1,4481.6,4478.1,4479.7,12.1015
1780596000,4479.2,4480.6,4477.9,4480.2,4.7424
1780596900,4480.6,4482.6,4479.9,4480.3,55.2706
1780597800,4479.9,4480.3,4475.6,4475.6,15.583
1780598700,4476.2,4481,4476.1,4479.6,3.3396
1780599600,4479.7,4484.5,4479.6,4479.6,20.3341
1780600500,4479.6,4481.8,4479.6,4481.7,21.2685
1780601400,4482.3,4482.4,4481.1,4481.1,23.0966
1780602300,4481,4482.4,4479.5,4482.4,21.9686
1780603200,4482.3,4482.3,4481.4,4481.4,1.1738
1780604100,4481.4,4481.4,4479.7,4479.8,19.4943
1780605000,4479.7,4479.7,4477.2,4477.5,39.8336
1780605900,4477.5,4477.5,4476.8,4477.2,2.7733
1780606800,4477.2,4478.6,4476.7,4478.6,63.0878
1780607700,4478.7,4478.7,4478.6,4478.6,1.7527
1780608600,4478.7,4478.7,4475.9,4475.9,20.1457
1780609500,4475.9,4476.8,4475.6,4476,36.551
1780610400,4476.4,4477.4,4475.7,4477.1,14.1009
1780611300,4477.2,4481,4477.2,4481,42.7963
1780612200,4480.4,4482.2,4477.8,4477.8,15.1356
1780613100,4477.3,4477.3,4470,4470,61.9324
1780614000,4470.7,4474.5,4466.2,4472.6,437.5871
1780614900,4471.5,4474.2,4469.6,4471,65.4678
1780615800,4468,4468.2,4464,4464.4,116.9653
1780616700,4464,4465.9,4463,4463,44.8918
1780617600,4462.9,4466,4454.8,4456.5,116.7772
1780618500,4456.6,4458.1,4452.5,4457.9,6.7498
1780619400,4457.8,4467.5,4457.7,4466.3,53.8863
1780620300,4464.4,4466.4,4461.7,4461.7,3.0988
1780621200,4461.1,4470,4456,4462.3,4.1169
1780622100,4462.4,4465.1,4452.5,4458,31.6484
1780623000,4460,4460,4447.2,4447.9,63.5176
1780623900,4447.4,4451.8,4445.7,4448,84.8183
1780624800,4448.2,4451.1,4444.4,4450.8,50.27
1780625700,4451.7,4455,4449.6,4452.1,139.6116
1780626600,4448.5,4448.5,4438.8,4443.3,275.5135
1780627500,4443.4,4449.3,4441,4441,15.201
1780628400,4441,4441,4437.5,4440.5,15.5877
1780629300,4440.4,4443.4,4436.3,4437.8,10.2738
1780630200,4437.1,4442.4,4437.1,4441.8,77.0237
1780631100,4441.9,4443,4440.2,4442.4,16.1477
1780632000,4442.5,4444,4440.1,4440.3,70.9019
1780632900,4442.3,4443.8,4440,4441.3,18.6661
1780633800,4441.2,4443,4438.9,4441.8,31.5442
1780634700,4442.2,4446.5,4441.3,4446.5,18.098
1780635600,4446.5,4450.1,4444.8,4449.8,68.2283
1780636500,4448.8,4448.8,4444.8,4445.9,11.5478
1780637400,4446.6,4448.3,4441.2,4444.6,148.4108
1780638300,4445.4,4448.9,4441,4441,108.9721
1780639200,4440.9,4442.6,4435.6,4437,243.4953
1780640100,4435.3,4445.6,4430,4442,147.9421
1780641000,4442.7,4450.5,4442.7,4449.3,74.8462
1780641900,4449.4,4456.9,4448.8,4453.5,48.252
1780642800,4453.5,4463.6,4453,4460,27.2431
1780643700,4463,4467.4,4461.5,4467.4,26.2024
1780644600,4467.4,4467.4,4461.3,4462.9,18.8135
1780645500,4463.1,4465.6,4463.1,4463.1,25.2791
1780646400,4460.7,4463.5,4460.5,4460.6,15.9773
1780647300,4462.2,4466,4460.8,4466,34.5314
1780648200,4467,4468,4463.3,4463.3,29.4649
1780649100,4463.3,4464.1,4463.3,4463.5,30.1109
1780650000,4463.4,4468.8,4461.5,4465.6,26.1613
1780650900,4466.4,4470.1,4464.8,4464.8,267.4188
1780651800,4464.9,4467.2,4461.7,4467.2,9.3446
1780652700,4467.9,4469.7,4465.1,4466,18.899
1780653600,4465.7,4466,4464.9,4465.9,2.7899
1780654500,4466,4469,4465.9,4467.4,8.0527
1780655400,4468.6,4468.6,4464.7,4465.3,3.7214
1780656300,4466.2,4468.9,4466.2,4468.5,9.7476
1780657200,4468.3,4468.3,4463.1,4463.1,12.4484
1780658100,4463.3,4467.7,4462.6,4467.2,60.4963
1780659000,4467.2,4468.5,4465.4,4467,76.2705
1780659900,4466.4,4475.2,4466.4,4471.9,12.678
